Provincia;Via;PKInicio;PKFin;Tramo;Tipo;Causa;Calzada;RutaAlt;Observaciones;FechaAlta;MasInfo;Column 13
Zamora;CL-612;85.0;85.675;DE VILLALPANDO (N-VI) A CASTRONUEVO (ZA-702);Cortada;Obras;Única;;--;2025-10-10T15:13:28+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226686;
Zamora;ZA-101;0.0;3.41;DE PÍAS (ZA-102) A BARJACOBA;Precaución;Otras;Única;;--;2025-09-26T15:13:32+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226503;
Zamora;ZA-102;1.07;9.37;DE LÍMITE DE PROVINCIA DE ORENSE A ZA-101;Precaución;Otras;Única;;--;2025-09-26T15:08:18+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226500;
Zamora;ZA-714;9.665;9.979;DE RIEGO DEL CAMINO (N-630) A PAJARES DE LA LAMPREANA;Cortada;Obras;Única;;--;2025-06-06T16:10:42+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225155;
Zamora;ZA-921;7.0;13.0;DE PUEBLA DE SANABRIA (ZA-925) A LÍMITE CON PORTUGAL (RIHONOR DE CASTILLA);Precaución;Otras;Única;;--;2025-04-08T12:41:18+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224365;
Ávila;CL-605;51.93;54.0;DE LÍMITE DE PROVINCIA DE SEGOVIA A A-6;Precaución;Obras;Única;;Obras en la vía;2025-09-15T09:44:25+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226340;
Ávila;CL-605;54.0;57.0;DE A-6 A AV-810;Precaución;Obras;Única;;Obras en la vía;2025-09-15T09:44:25+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226341;
Ávila;AV-915;0.0;2.0;DE SOTILLO DE LA ADRADA (CL-501) A AV-911;Precaución;Obras;Única;;Obras en la vía;2025-04-14T11:15:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224429;
Burgos;CL-630;2.3;2.4;DE N-623 A LÍMITE DE C.A. DE CANTABRIA;Precaución;Otras;Única;;Obstáculos/objetos en la calzada;2025-09-24T14:35:58+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226470;
Burgos;BU-825;0.0;14.0;DE SALAS DE LOS INFANTES (N-234) A BU-820;Precaución;Obras;Única;;Obras en la vía;2025-10-14T13:04:55+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226704;
León;CL-626;10.0;14.1;DE CABOALLES DE ABAJO (LE-497) A RIOSCURO (LE-493);Precaución;Obras;Única;;Obras en la vía;2025-09-30T12:23:39+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226535;
León;CL-626;14.1;18.0;DE RIOSCURO (LE-493) A PIEDRAFITA DE BABIA (LE-495);Precaución;Obras;Única;;Obras en la vía;2025-09-30T12:23:39+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226536;
León;CL-626;80.7;80.7;DE LA MAGDALENA (LE-420) A LA ROBLA (N-630);Circulación alternativa;Obras;Única;;Obras en la vía;2025-09-17T12:11:47+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226398;
León;CL-631;2.8;2.8;DE PONFERRADA (N-VI) INICIO DE AUTOVIA (CUBILLOS DEL SIL);Precaución;Otras;Única;;--;2025-10-09T15:02:58+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226663;
León;LE-497;2.55;2.95;DE CABOALLES DE ABAJO (CL-626) A LÍMITE DE C.A. DE ASTURIAS;Precaución;Otras;Única;;Obstáculos/objetos en la calzada;2025-03-02T09:21:08+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=222478;
Palencia;CL-613;1.87;13.0;DE GRIJOTA (P-954) A PAREDES DE NAVA;Precaución;Otras;Única;;--;2024-09-20T14:07:56+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=216814;
Palencia;P-131;0.0;6.0;DE CEVICO DE LA TORRE (P-110) A VALLE DE CERRATO (P-121);Precaución;Obras;Única;;Obras en la vía;2025-09-17T13:17:23+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226399;
Palencia;P-131;15.0;18.0;DE VALLE DE CERRATO (P-121) A BALTANÁS (CL-619);Precaución;Obras;Única;;Obras en la vía;2025-09-18T13:27:25+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226414;
Palencia;P-210;28.35;28.55;DE P-211 A CARDAÑO DE ABAJO (P-217);Precaución;Otras;Única;;--;2025-09-12T15:34:50+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226334;
Palencia;P-227;33.2;33.6;DE LA VID DE OJEDA (P-223) A HERRERA DE PISUERGA;Precaución;Obras;Única;;--;2025-04-04T13:50:55+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224326;
Palencia;P-420;0.0;0.85;DE AMUSCO (N-611) A VALDESPINA (P-430);Precaución;Obras;Única;;Obras en la vía;2024-05-29T20:31:31+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=215445;
Palencia;P-430;3.8;14.38;DE FRÓMISTA (P-431) A VALDESPINA (P-420);Precaución;Otras;Única;;--;2025-10-03T12:39:25+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226582;
Palencia;P-434;0.0;2.1;DE FRÓMISTA (P-431) A LÍMITE DE PROVINCIA DE BURGOS;Precaución;Otras;Única;;--;2025-10-03T12:12:28+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226577;
